Accession	Organism	Samples	Type	Platform	Title	Year	Summary	Link	Paper_title	Journal	Impact factor 2018	doi or pubmed id	All references	Type of molecule	BioProject link (NCBI)	BioProject link (EBI)	SRA
GSE74365	Homo sapiens	3	Expression profiling by high throughput sequencing	GPL11154	Ribosomal profiling in Cystic Fibrosis Bronchial Epithelial cells	2015-10-26	We performed ribosome profiling in Cystic Fibrosis Bronchial Epithelial cells which data set is used to calcualte codon-specific ribosome occupancy using the approach described by Lareau et al. eLife 2014.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74365	Alteration of protein function by a silent polymorphism linked to tRNA abundance.	PLoS biology	8.386	https://doi.org/10.1371/journal.pbio.2000779	{PLoS biology (8.386) doi:10.1371/journal.pbio.2000779}; {Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society (None) doi:10.1016/j.jcf.2020.04.005}; 	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA299827	https://www.ebi.ac.uk/ena/browser/view/PRJNA299827	https://www.ncbi.nlm.nih.gov/sra?term=SRP065282
GSE61073	Mus musculus; Homo sapiens	95	Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing; Expression profiling by array	GPL1261; GPL9115; GPL9250; GPL11154; GPL13112	mRNA destabilization is the dominant effect of mammalian microRNAs by the time substantial repression ensues	2014-09-03	This SuperSeries is composed of the SubSeries listed below.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61073	mRNA destabilization is the dominant effect of mammalian microRNAs by the time substantial repression ensues.	Molecular cell	14.548	https://doi.org/10.1016/j.molcel.2014.08.028	{Molecular cell (14.548): 10.1016/j.molcel.2014.08.028}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA260185	https://www.ebi.ac.uk/ena/browser/view/PRJNA260185	None
GSE143691	Homo sapiens	4	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	GPL11154; GPL16791	Super-enhancer redistribution as a mechanism of broad gene dysregulation in repeatedly drug-treated cancer cells [dataset 3]	2020-01-15	We provide a series of chromatin and transcriptomic profiles to establish the short-term and long-term effects of cisplatin treatment in ovarian cancer A2780 cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143691	Super-Enhancer Redistribution as a Mechanism of Broad Gene Dysregulation in Repeatedly Drug-Treated Cancer Cells.	Cell reports	7.815	https://doi.org/10.1016/j.celrep.2020.107532	{Cell reports (7.815): 10.1016/j.celrep.2020.107532}	'genomic DNA', 'polyA RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA601312	https://www.ebi.ac.uk/ena/browser/view/PRJNA601312	https://www.ncbi.nlm.nih.gov/sra?term=SRP242004
GSE58402	Plasmodium falciparum	10	Expression profiling by high throughput sequencing; Other	GPL16607	Ribosome Profiling in P. falciparum asexual blood stages	2014-06-11	The description of the transcriptome and proteome datasets of Plasmodium falciparum, the deadliest strain of human malaria, has been a tremendous resource for the understanding of the molecular physiology of this parasite. However, the underlying translational control that links global measurements of steady-state mRNA with protein levels is not well understood. Our work bridges this disconnect by measuring translation on a whole genome scale using ribosome profiling, providing the first measurements of new protein synthesis through the asexual blood phase developmental cycle.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58402	Genome-wide regulatory dynamics of translation in the <i>Plasmodium falciparum</i> asexual blood stages.	eLife	7.551	https://doi.org/10.7554/eLife.04106	{eLife (7.551): 10.7554/eLife.04106}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA252511	https://www.ebi.ac.uk/ena/browser/view/PRJNA252511	https://www.ncbi.nlm.nih.gov/sra?term=SRP043116
GSE156749	Mus musculus	12	Expression profiling by high throughput sequencing	GPL21493	Upregulation of 5’-terminal oligopyrimidine mRNA translation upon loss of the tumor suppressor ARF	2020-08-24	Tumor cells require nominal increases in protein synthesis in order to maintain high proliferation rates. As such, tumor cells must acquire enhanced ribosome production. How many of the mutations in tumor cells ultimately achieve this aberrant production is largely unknown. The gene encoding ARF is the most commonly deleted gene in human cancer. ARF plays a significant role in regulating ribosomal RNA synthesis and processing, ribosome export into the cytoplasm, and global protein synthesis. Utilizing ribosome profiling, we show that 5’-terminal oligopyrimidine mRNA translation is upregulated following loss of ARF. Genes with increased translational efficiency following loss of ARF include many ribosomal proteins and translation factors. Knockout of p53 largely phenocopies ARF loss, with increased protein synthesis and expression of 5’-TOP encoded proteins. The 5’-TOP regulators eIF4G1 and LARP1 are upregulated in ARF and p53 null cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156749	Upregulation of 5'-terminal oligopyrimidine mRNA translation upon loss of the ARF tumor suppressor.	Scientific reports	4.011	https://doi.org/10.1038/s41598-020-79379-8	{Scientific reports (4.011): 10.1038/s41598-020-79379-8}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA658965	https://www.ebi.ac.uk/ena/browser/view/PRJNA658965	https://www.ncbi.nlm.nih.gov/sra?term=SRP278615
GSE57336	Trypanosoma brucei	22	Expression profiling by high throughput sequencing	GPL10599	Stage-specific regulation of translation revealed by ribosome profiling of Trypanosoma brucei	2014-05-06	Trypanosoma brucei subspecies infect humans and animals in sub-Saharan Africa. This early diverging eukaryote shows many novel features in basic biological processes, including the use of polycistronic transcription to generate all protein-coding mRNAs. Therefore we hypothesized that translational control provides a means to tune gene expression during parasite development in mammalian and fly hosts. We used ribosome profiling to examine genome-wide protein production in animal-derived slender bloodstream forms and cultured procyclic (insect midgut) forms. About one-third of all CDSs showed statistically significant regulation of protein production between the two stages. Of these, more than two-thirds showed a change in translation efficiency, but few were controlled by this parameter alone. Ribosomal proteins were translated poorly, especially in animal-derived parasites. A disproportionate number of metabolic enzymes were up-regulated at the mRNA level in procyclic forms, as were variant surface glycoproteins in bloodstream forms. Comparison with cultured bloodstream forms from another strain identified stage-specific changes in protein production that transcend strain and growth conditions. Genes with upstream ORFs had a lower mean translation efficiency but no evidence was seen for involvement of these ORFs in stage-regulation. Ribosome profiling revealed that differences in the production of specific proteins in T. brucei slender bloodstream and procyclic forms are more common than anticipated from analysis of mRNA abundance. While in vivo and in vitro derived slender bloodstream forms of different strains are more similar to one another than to procyclic forms, they showed numerous differences at both the mRNA and protein production level.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57336	Extensive stage-regulation of translation revealed by ribosome profiling of Trypanosoma brucei.	BMC genomics	3.501	https://doi.org/10.1186/1471-2164-15-911	{BMC genomics (3.501): 10.1186/1471-2164-15-911}	'polyA RNA', 'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA246300	https://www.ebi.ac.uk/ena/browser/view/PRJNA246300	https://www.ncbi.nlm.nih.gov/sra?term=SRP041705
GSE157608	Homo sapiens	14	Expression profiling by array	GPL16699	Cytoplasmic mRNA and Heavy polysome-associated mRNAs from U251 Cells treated with Control or eIF3e siRNAs	2020-09-08	Transcriptional profiling of Cytoplasmic mRNA and Heavy polysome-associated mRNAs extracted from U251 Cells treated with control siRNA or siRNA targeting eIF3e . Goal was to determine the effect of eIF3e knockdown on translation of specific mRNAs.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157608	None	None	None	None	None	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA662223	https://www.ebi.ac.uk/ena/browser/view/PRJNA662223	None
GSE35106	Mus musculus	9	Expression profiling by array	GPL1261	Polysome-bound mRNA during oocyte maturation	2012-01-13	Oocyte maturation, fertilization, and early embryonic development occur in the absence of gene transcription. Therefore, it is critical to understand at a global level the post-transcriptional events that are driving these transitions. Here, we have used a systems approach by combining polysome mRNA profiling and bioinformatics to identify RNA binding motifs in mRNAs that either enter or exit the polysome pool during mouse oocyte maturation. Association of mRNA with the polysomes correlates with active translation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE35106	Genome-wide analysis of translation reveals a critical role for deleted in azoospermia-like (Dazl) at the oocyte-to-zygote transition.	Genes & development	8.99	https://doi.org/10.1101/gad.2028911	{Genes & development (8.990): 10.1101/gad.2028911}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA150899	https://www.ebi.ac.uk/ena/browser/view/PRJNA150899	None
GSE77180	Homo sapiens	8	Expression profiling by array	GPL5175	Translational reprogramming of colorectal cancer cells induced by 5-fluorouracil through a miRNA-dependent mechanism	2016-01-25	5-Fluorouracil (5-FU) is a widely used chemotherapeutic drug in colorectal cancer. Previous studies showed that 5-FU modulates RNA metabolism and mRNA expression. In addition, it has been reported that 5-FU incorporates into the RNAs constituting the translational machinery and that 5-FU affects the amount of some mRNAs associated with ribosomes. However, the impact of 5-FU on translational regulation remains unclear. Using translatome profiling, we report that a clinically relevant dose of 5-FU induces a translational reprogramming in colorectal cancer cell lines. Comparison of mRNA distribution between polysomal and non-polysomal fractions in response to 5-FU treatment using microarray quantification identified 313 genes whose translation was selectively regulated. These regulations were mostly stimulatory (91%). Among these genes, we showed that 5-FU increases the mRNA translation of HIVEP2, which encodes a transcription factor whose translation in normal condition is known to be inhibited by mir-155. In response to 5-FU, the expression of mir-155 decreases thus stimulating the translation of HIVEP2 mRNA. Interestingly, the 5-FU-induced increase in specific mRNA translation was associated with reduction of global protein synthesis. Altogether, these findings indicate that 5-FU promotes a translational reprogramming leading to the increased translation of a subset of mRNAs that involves at least for some of them, miRNA-dependent mechanisms. This study supports a still poorly evaluated role of translational control in drug response.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77180	Translational reprogramming of colorectal cancer cells induced by 5-fluorouracil through a miRNA-dependent mechanism.	Oncotarget	None	https://doi.org/10.18632/oncotarget.17597	{Oncotarget (None): 10.18632/oncotarget.17597}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA309671	https://www.ebi.ac.uk/ena/browser/view/PRJNA309671	None
GSE69922	Homo sapiens	3	Other	GPL16791	Ribosome profiling of MCF10A cells treated with TGFb and esterified leucine	2015-06-16	MCF10A-inducible RASV12 cells were treated with TGF-beta for 48hr. As rescue experiment, in one sample cells were treated with esterified leucine for 18hr.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69922	TGFβ1-induced leucine limitation uncovered by differential ribosome codon reading.	EMBO reports	8.383	https://doi.org/10.15252/embr.201744000	{EMBO reports (8.383): 10.15252/embr.201744000}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA287138	https://www.ebi.ac.uk/ena/browser/view/PRJNA287138	https://www.ncbi.nlm.nih.gov/sra?term=SRP059547
